bodyId,type,instance,class,superclass,somaSide,sensory_group
512975,JO-A3,JO-A3_L,mechanosensory,cb_sensory,,johnstons_organ
513113,JO-CA2,JO-CA2_L,mechanosensory,cb_sensory,,johnstons_organ
513223,JO-EV5,JO-EV5_L,mechanosensory,cb_sensory,,johnstons_organ
514024,JO-ED2_a,JO-ED2_a_R,mechanosensory,cb_sensory,,johnstons_organ
514083,JO-ED2_b,JO-ED2_b_R,mechanosensory,cb_sensory,,johnstons_organ
514084,JO-ED2_b,JO-ED2_b_R,mechanosensory,cb_sensory,,johnstons_organ
514191,LPLC1,LPLC1_L,,visual_projection,L,looming_lplc
514568,JO-EV3,JO-EV3_R,mechanosensory,cb_sensory,,johnstons_organ
514670,LPLC2,LPLC2_L,,visual_projection,L,looming_lplc
514792,LPLC1,LPLC1_L,,visual_projection,L,looming_lplc
514846,LPLC1,LPLC1_L,,visual_projection,L,looming_lplc
515363,JO-ED1,JO-ED1_R,mechanosensory,cb_sensory,,johnstons_organ
515380,JO-mz,JO-mz_L,mechanosensory,cb_sensory,,johnstons_organ
515512,JO-ED2_b,JO-ED2_b_L,mechanosensory,cb_sensory,,johnstons_organ
515513,JO-ED2_b,JO-ED2_b_L,mechanosensory,cb_sensory,,johnstons_organ
515514,JO-ED2_b,JO-ED2_b_L,mechanosensory,cb_sensory,,johnstons_organ
515901,LPLC4,LPLC4_L,,visual_projection,L,looming_lplc
515971,LPLC2,LPLC2_L,,visual_projection,L,looming_lplc
516332,JO-DA,JO-DA_L,mechanosensory,cb_sensory,,johnstons_organ
516499,JO-B4_b,JO-B4_b_L,mechanosensory,cb_sensory,,johnstons_organ
516604,JO-EV3,JO-EV3_R,mechanosensory,cb_sensory,,johnstons_organ
516605,JO-EV3,JO-EV3_R,mechanosensory,cb_sensory,,johnstons_organ
516606,JO-ED2_b,JO-ED2_b_R,mechanosensory,cb_sensory,,johnstons_organ
516907,JO-EV2,JO-EV2_R,mechanosensory,cb_sensory,,johnstons_organ
517078,LPLC2,LPLC2_L,,visual_projection,L,looming_lplc
517079,LPLC2,LPLC2_L,,visual_projection,L,looming_lplc
517600,LPLC1,LPLC1_L,,visual_projection,L,looming_lplc
517819,LPLC2,LPLC2_L,,visual_projection,L,looming_lplc
518588,LPLC4,LPLC4_L,,visual_projection,L,looming_lplc
518731,LPLC2,LPLC2_L,,visual_projection,L,looming_lplc
